Celia's Mexican Catering,P2XKcDLVHUuOdGNBQtMFRQ,UC Campus Area,Specialty Food,37.8755809,-122.259984,4.5,6
Chang Luong Restaurant,_mv3DhRD3L3okFXYjxX_Cg,Telegraph Ave,Dim Sum,37.8680415,-122.2582906,2.5,66
Cheese 'N' Stuff,o0KC5k-7fXH8LHf75Icfuw,Telegraph Ave,Delis,37.8677205,-122.2595445,4,161
ChiangLai,XXr7s62ZXeMT10GuxsVeyA,UC Campus Area,Thai,37.8751965,-122.2598181,3,19
Chinese Express,t-xuA4yR02gud00gTS2iyw,Telegraph Ave,Chinese,37.8667955,-122.2592389,3.5,67
Chipotle Mexican Grill,tzRNk1hqooBV3i-Q_yKP7g,Telegraph Ave,Fast Food,37.8683664,-122.2590498,3,190
Cho Vegi House,se_Kx22tdmaGldYSNwXlRg,Telegraph Ave,Thai,37.8663725,-122.2588069,3.5,36
Cinnaholic,2u4DSD6F8RyFXp-Crhj8OA,Downtown Berkeley,Bakeries,37.8702006,-122.2659014,4.5,451
CK Mini Market,of2yfWnwt2f2ml4By2xbKA,Telegraph Ave,Convenience Stores,37.8680197,-122.2569545,4,5
Coffee Bean & Tea Leaf,4GhWBA0LrFVZiWcVkaECsA,UC Campus Area,Coffee & Tea,37.8691214,-122.2596284,5,2
Coffee Source,WDwiA7-8N7MgTYZr5CbMIw,Telegraph Ave,Restaurants,37.8668408,-122.2587734,2,2
CREAM,r7Ggh7ejuBWjT0TQPW-ypA,Telegraph Ave,Desserts,37.8670217,-122.2587134,4,1020
Crepes A-Go Go,ZMqhKMjtdqVZLw11ja3ANg,Telegraph Ave,Creperies,37.8679211,-122.2591694,4,158
Crossroads,X2gKwUYR1CQ51XCpKU1_gQ,Telegraph Ave,Buffets,37.8666266,-122.2563918,3,53
Cupkates,zqvFNZq8q86V7QOcpURcSg,UC Campus Area,Desserts,37.8654727,-122.2625529,4.5,550
Desi Dog by Brazil Cafe,OzLB_Yc2udRnw2z5mTTP8A,Telegraph Ave,Hot Dogs,37.8687725,-122.2589321,4,23
Dim Sum Truck,Shhhwc7da_vBoRfCP6AS6g,Telegraph Ave,Specialty Food,37.8648358,-122.2585863,3.5,9
Dojo Dog,ya60yzziKMfgyFLAdUNdFQ,UC Campus Area,Hot Dogs,37.8690986,-122.2596091,4,67
Dollar Curry House,Cq0RSod_3ADfYMSY8QelGw,Downtown Berkeley,Pakistani,37.8701853,-122.2658691,3.5,33
Durant Square - Asian Ghetto,plRUSuB_uY_dEgcMqeZMYA,Telegraph Ave,Asian Fusion,37.8680781,-122.2579783,4,62
D'Yar,WaxhDYWQmZ1FGM2ChY7_2Q,Telegraph Ave,Mediterranean,37.8678828,-122.2585448,3.5,138
Eat A Pita,dj04gZjAPRChPfVvgmDwGQ,Telegraph Ave,Greek,37.8680122,-122.2585679,2.5,21
Eclair Pastries,R_Kzmwc7kvELL5dnmjIsTw,UC Campus Area,Bakeries,37.8639936,-122.2585855,3,10
Eclipse Cafe,MgV5LM0rX0yrVMu9K1kXGw,Downtown Berkeley,Greek,37.8697267,-122.2660897,3,12
Euclid Cafe,ofVQtuN6sXTy6QVWQ6QytA,UC Campus Area,Restaurants,37.8752663,-122.2602026,3.5,7
Fa-la-la,HaNkWM2kccUtj_0InltMow,Telegraph Ave,Specialty Food,37.8679022,-122.2581052,4,42
Fat Slice Pizza,uNumMb-5qNiVzW6T32Uiag,Telegraph Ave,Pizza,37.867209,-122.258583,3.5,392
Foley's Deli,rcu96dLkUGU4Naj7GqOHDQ,Telegraph Ave,Sandwiches,37.868272,-122.259354,5,2
